Test,Control
10001,11629
10002,13298
10003,14931
10004,12550
10005,11028
10006,11790
10007,12333
10008,12601
10009,14218
10010,13362
10011,14792
10012,14937
10013,11693
10014,11786
10015,13809
10016,12367
10017,12973
10018,14860
10019,13616
10020,14808
10021,13001
10022,12084
10023,11495
10024,13199
10025,13843
10026,14479
10027,12846
10028,12200
10029,13398
10030,13269
10031,11590
10032,11547
10033,12388
10034,13086
10035,12235
10036,11419
10037,12298
10038,12996
10039,13093
10040,12270
10041,13840
10042,13391
10043,12990
10044,14630
10045,14482
10046,11828
10047,14714
10048,13744
10049,13009
10050,11448
10051,13399
10052,14456
10053,14170
10054,11778
10055,13826
10056,14907
10057,13581
10058,13036
10059,14421
10060,13447
10061,13016
10062,12950
10063,11623
10064,13930
10065,12555
10066,14794
10067,12574
10068,13173
10069,11700
10070,11468
10071,12141
10072,14266
10073,14524
10074,12025
10075,12253
10076,14783
10077,13184
10078,13595
10079,11569
10080,14732
10081,11710
10082,14077
10083,14709
10084,12476
10085,14779
10086,12306
10087,12821
10088,12749
10089,11350
10090,14701
10091,14893
10092,12770
10093,11110
10094,12346
10095,11909
10096,11055
10097,14374
10098,14979
10099,12181
10100,14365
10101,13811
10102,12941
10103,13661
10104,11457
10105,11943
10106,14251
10107,13400
10108,11567
10109,14243
10110,13423
10111,11761
10112,14482
10113,11436
10114,14189
10115,12872
10116,14155
10117,13421
10118,14293
10119,12571
10120,14060
10121,11001
10122,14128
10123,14495
10124,14395
10125,13475
10126,13044
10127,11010
10128,11310
10129,12151
10130,12796
10131,14300
10132,14570
10133,12283
10134,12696
10135,11486
10136,14907
10137,14364
10138,14049
10139,14759
10140,14483
10141,12328
10142,14287
10143,13090
10144,14112
10145,13689
10146,13434
10147,11253
10148,13595
10149,11110
10150,12681
10151,12777
10152,14196
10153,13647
10154,11185
10155,13572
10156,13072
10157,13423
10158,11328
10159,11977
10160,12053
10161,14686
10162,13951
10163,12766
10164,11781
10165,12439
10166,14847
10167,12593
10168,14182
10169,12686
10170,12006
10171,13416
10172,14513
10173,14757
10174,13784
10175,11555
10176,14285
10177,11880
10178,11716
10179,11651
10180,11160
10181,13911
10182,14133
10183,14577
10184,14302
10185,13474
10186,13323
10187,12494
10188,11686
10189,14204
10190,13521
10191,12233
10192,12079
10193,14705
10194,13798
10195,11783
10196,13873
10197,13466
10198,11320
10199,11133
10200,13487
10201,13719
10202,11532
10203,12158
10204,12629
10205,12002
10206,14742
10207,12063
10208,11417
10209,14344
10210,14676
10211,12025
10212,11045
10213,13379
10214,11526
10215,14545
10216,14946
10217,14125
10218,12339
10219,14879
10220,14728
10221,12974
10222,12052
10223,11141
10224,14962
10225,11374
10226,14388
10227,11664
10228,11635
10229,12426
10230,14809
10231,11443
10232,12156
10233,12730
10234,14476
10235,13052
10236,11592
10237,12193
10238,13025
10239,12964
10240,12303
10241,13042
10242,13631
10243,13272
10244,12439
10245,14982
10246,11529
10247,12565
10248,14950
10249,12685
10250,13887
10251,12114
10252,11448
10253,12648
10254,12813
10255,13833
10256,11173
10257,12424
10258,14068
10259,12048
10260,14020
10261,12162
10262,14777
10263,13281
10264,12809
10265,11530
10266,14066
10267,12721
10268,14434
10269,11314
10270,11567
10271,12188
10272,14845
10273,12324
10274,12138
10275,12731
10276,14038
10277,11376
10278,11930
10279,11851
10280,14853
10281,12596
10282,11708
10283,12760
10284,14384
10285,11718
10286,14931
10287,12224
10288,14154
10289,12311
10290,11628
10291,11836
10292,12343
10293,14415
10294,14771
10295,11910
10296,13562
10297,11591
10298,14853
10299,13677
10300,11922
10301,12539
10302,12182
10303,13618
10304,14752
10305,13717
10306,14119
10307,12999
10308,11534
10309,11944
10310,14296
10311,13661
10312,14793
10313,13703
10314,12785
10315,11002
10316,14264
10317,14076
10318,12611
10319,11332
10320,13127
10321,13663
10322,12022
10323,12530
10324,13436
10325,12367
10326,14852
10327,11499
10328,13707
10329,11744
10330,11622
10331,14414
10332,13613
10333,12079
10334,14890
10335,11761
10336,11483
10337,12903
10338,11399
10339,11310
10340,11524
10341,12313
10342,14838
10343,14629
10344,14352
10345,13236
10346,12628
10347,14446
10348,12310
10349,14964
10350,12987
10351,13368
10352,12849
10353,11614
10354,13475
10355,11078
10356,13361
10357,12231
10358,14837
10359,14963
10360,11709
10361,13357
10362,12245
10363,12654
10364,12737
10365,13933
10366,14711
10367,14176
10368,11945
10369,11750
10370,12146
10371,13732
10372,13451
10373,14242
10374,12227
10375,11693
10376,14564
10377,11672
10378,11083
10379,11458
10380,14444
10381,12238
10382,12927
10383,12477
10384,14606
10385,12928
10386,14907
10387,13409
10388,14890
10389,11663
10390,11376
10391,13999
10392,12941
10393,14472
10394,11197
10395,14670
10396,12468
10397,13849
10398,12056
10399,13229
10400,11270
10401,11154
10402,11654
10403,13230
10404,14064
10405,13839
10406,12559
10407,11855
10408,14738
10409,14490
10410,12549
10411,11442
10412,14545
10413,11402
10414,12172
10415,13925
10416,12681
10417,12922
10418,14401
10419,13663
10420,11068
10421,13024
10422,14856
10423,13057
10424,14030
10425,13720
10426,11537
10427,13632
10428,11971
10429,13995
10430,14867
10431,13909
10432,12051
10433,13261
10434,12157
10435,13464
10436,13399
10437,14136
10438,11849
10439,14049
10440,14774
10441,13051
10442,11587
10443,13097
10444,14276
10445,12472
10446,13654
10447,14551
10448,11465
10449,13323
10450,13796
10451,13145
10452,11096
10453,11478
10454,12734
10455,14759
10456,11910
10457,13940
10458,11379
10459,14805
10460,14634
10461,12995
10462,12749
10463,14795
10464,13592
10465,14959
10466,12632
10467,14853
10468,11991
10469,12661
10470,11817
10471,13782
10472,13768
10473,12646
10474,11350
10475,12315
10476,14771
10477,12317
10478,13312
10479,11468
10480,13851
10481,11602
10482,13097
10483,14688
10484,12799
10485,14113
10486,11530
10487,14501
10488,11701
10489,13727
10490,14902
10491,11883
10492,11148
10493,14450
10494,13370
10495,12334
10496,11407
10497,12091
10498,13160
10499,14420
10500,12285
10501,11020
10502,12624
10503,14525
10504,13756
10505,11185
10506,14060
10507,14101
10508,12308
10509,13222
10510,12610
10511,12128
10512,13086
10513,13023
10514,14917
10515,11110
10516,14420
10517,14093
10518,14725
10519,11310
10520,13836
10521,11818
10522,11052
10523,11761
10524,12534
10525,11072
10526,13475
10527,14665
10528,13431
10529,14551
10530,13787
10531,11438
10532,11738
10533,12811
10534,12645
10535,11030
10536,13160
10537,12596
10538,12596
10539,12917
10540,12855
10541,13973
10542,13229
10543,12519
10544,14492
10545,14271
10546,11449
10547,13588
10548,13632
10549,11525
10550,14968
10551,11602
10552,11588
10553,11357
10554,13060
10555,14303
10556,13521
10557,11871
10558,12018
10559,14402
10560,12987
10561,12386
10562,12333
10563,14612
10564,14255
10565,13574
10566,12498
10567,14067
10568,14407
10569,13722
10570,12830
10571,14012
10572,11396
10573,12083
10574,14820
10575,11630
10576,13475
10577,12571
10578,12522
10579,11898
10580,12031
10581,13392
10582,14518
10583,12008
10584,14045
10585,14952
10586,11560
10587,12447
10588,14835
10589,11872
10590,12744
10591,14370
10592,13835
10593,14459
10594,13458
10595,12245
10596,12440
10597,14833
10598,14775
10599,11802
10600,13121
10601,11050
10602,11142
10603,11543
10604,12578
10605,14616
10606,14821
10607,13113
10608,14121
10609,11919
10610,14260
10611,13976
10612,14221
10613,12065
10614,13956
10615,14441
10616,12151
10617,12258
10618,13411
10619,12013
10620,13880
10621,11710
10622,14536
10623,13257
10624,14964
10625,11506
10626,12240
10627,13775
10628,12417
10629,14895
10630,11163
10631,14225
10632,11726
10633,11056
10634,11458
10635,11361
10636,12781
10637,12565
10638,12420
10639,13900
10640,12220
10641,14054
10642,14686
10643,12229
10644,14132
10645,14166
10646,11166
10647,11634
10648,13747
10649,14193
10650,12761
10651,13158
10652,11255
10653,14285
10654,13898
10655,13537
10656,13198
10657,13261
10658,12760
10659,13031
10660,13866
10661,13995
10662,14097
10663,13206
10664,11422
10665,12989
10666,13564
10667,13800
10668,11533
10669,11234
10670,11495
10671,14745
10672,12509
10673,13588
10674,12445
10675,11707
10676,11372
10677,11943
10678,13897
10679,12565
10680,11510
10681,14611
10682,12476
10683,12700
10684,11275
10685,14732
10686,12523
10687,11116
10688,13187
10689,12627
10690,14141
10691,13351
10692,11064
10693,14761
10694,13894
10695,14622
10696,11365
10697,14972
10698,13396
10699,13585
10700,12131
10701,11468
10702,14826
10703,12011
10704,11361
10705,14670
10706,11496
10707,13951
10708,13571
10709,14367
10710,14081
10711,12222
10712,11330
10713,14839
10714,12104
10715,14271
10716,11544
10717,12198
10718,13667
10719,13038
10720,11649
10721,14933
10722,14751
10723,14221
10724,12486
10725,14868
10726,12995
10727,14700
10728,12747
10729,11370
10730,12488
10731,11478
10732,11340
10733,12696
10734,14755
10735,12351
10736,13837
10737,13724
10738,12372
10739,12896
10740,11425
10741,14971
10742,12306
10743,12778
10744,11395
10745,14608
10746,11676
10747,11216
10748,13414
10749,12390
10750,11275
10751,14439
10752,11539
10753,11017
10754,12153
10755,12360
10756,14714
10757,12809
10758,12517
10759,14962
10760,11078
10761,13052
10762,11845
10763,13308
10764,11542
10765,11539
10766,11580
10767,13494
10768,11542
10769,13677
10770,13656
10771,11044
10772,13902
10773,13628
10774,11722
10775,14261
10776,13211
10777,11925
10778,11732
10779,11569
10780,13371
10781,11402
10782,11413
10783,13617
10784,14879
10785,14505
10786,12619
10787,14430
10788,14891
10789,13851
10790,13760
10791,12425
10792,13846
10793,12825
10794,12719
10795,11017
10796,14094
10797,11227
10798,13246
10799,12047
10800,13657
10801,14450
10802,13141
10803,13514
10804,13056
10805,14856
10806,11476
10807,12997
10808,12788
10809,12986
10810,12063
10811,14362
10812,11082
10813,12117
10814,13983
10815,11264
10816,12426
10817,12373
10818,13929
10819,12824
10820,14994
10821,14672
10822,12153
10823,12652
10824,14271
10825,13173
10826,12524
10827,14069
10828,12958
10829,14038
10830,13289
10831,11827
10832,11889
10833,13477
10834,13726
10835,12987
10836,14771
10837,11042
10838,13920
10839,14364
10840,13411
10841,12838
10842,13538
10843,13807
10844,14217
10845,12239
10846,13799
10847,14825
10848,14104
10849,14364
10850,14044
10851,13128
10852,11175
10853,14151
10854,12790
10855,13466
10856,13603
10857,11678
10858,12206
10859,12216
10860,13192
10861,13096
10862,14256
10863,14723
10864,11110
10865,11530
10866,11495
10867,14902
10868,12248
10869,13113
10870,11387
10871,13890
10872,14241
10873,14570
10874,11193
10875,11926
10876,13325
10877,13831
10878,14703
10879,12467
10880,12080
10881,13251
10882,12856
10883,11313
10884,13479
10885,14742
10886,14950
10887,11247
10888,13990
10889,13251
10890,11582
10891,11454
10892,12835
10893,14921
10894,11803
10895,12384
10896,11111
10897,12593
10898,13828
10899,14651
10900,11849
10901,12050
10902,12812
10903,13452
10904,13373
10905,12108
10906,14075
10907,13591
10908,11190
10909,13559
10910,13742
10911,14671
10912,11509
10913,13573
10914,14110
10915,12985
10916,12640
10917,12076
10918,13053
10919,11818
10920,14132
10921,14564
10922,11164
10923,14679
10924,12881
10925,12748
10926,13629
10927,13001
10928,11328
10929,13034
10930,14768
10931,14599
10932,13542
10933,11960
10934,13695
10935,14698
10936,13386
10937,12962
10938,11464
10939,14518
10940,12680
10941,13197
10942,11944
10943,14983
10944,11171
10945,13080
10946,11499
10947,11250
10948,14359
10949,11256
10950,11537
10951,11787
10952,12384
10953,11883
10954,12755
10955,11244
10956,14955
10957,12456
10958,13784
10959,13109
10960,13002
10961,13246
10962,13199
10963,13379
10964,11828
10965,13229
10966,13978
10967,12430
10968,12433
10969,13020
10970,12485
10971,13390
10972,12651
10973,13829
10974,11415
10975,14353
10976,14922
10977,14232
10978,14242
10979,13881
10980,12328
10981,13314
10982,13097
10983,14227
10984,14375
10985,12329
10986,11370
10987,11988
10988,11676
10989,13913
10990,11063
10991,14409
10992,13253
10993,12805
10994,14103
10995,13038
10996,11802
10997,13086
10998,14451
10999,11642
11000,11233
