custid,flag,t-5,t-4,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10
10001,T,252.96,26.52,474.3,246.3333333,240.8622222,334.9888889,283.9018519,303.4551029,323.9857339,326.8413992,352.9265737,331.876685,318.4144768,308.0264674,301.865938,295.8286193
10002,T,228,41.41,311,193.3333333,185.4133333,235.5648148,215.3606173,222.2702881,234.5404115,238.3749611,248.2844079,239.083849,229.5103815,227.9085533,223.3503823,218.8833746
10003,T,240.1,200.99,161.7,200.97,187.11,191.2366667,202.1833333,206.0907407,206.1176543,213.0719342,227.3662551,227.5253772,210.6480887,206.6819535,202.5483144,198.4973481
10004,T,465.61,343.74,311.1,367.6666667,333.19,346.4996296,371.1579012,367.1422222,382.0060357,387.175615,423.1113977,403.1387299,389.6881563,372.3053328,364.8592261,357.5620416
10005,T,228.48,216,210.7,218.3333333,220.7733333,225.2562963,232.3220988,234.0577778,238.4932785,258.0934248,260.1669867,255.8645623,249.3680807,232.005249,227.365144,222.8178411
10006,T,180.18,167.58,166.32,173.6666667,167.4711111,177.6859259,180.3925926,184.8755556,190.1190947,205.7048011,210.6908825,197.0304705,188.4831343,186.7433592,183.008492,179.3483222
10007,T,260,97.92,306.9,222,207.24,259.4666667,237.4555556,248.008642,256.9563786,270.3284499,278.3885231,267.867886,259.9322644,246.4646216,241.5353292,236.7046226
10008,T,393.96,374,408.87,400.2966667,386.5555556,413.297037,425.1598765,429.4977778,434.6513306,469.5579881,489.694289,465.9792638,437.9205643,426.0411571,417.520334,409.1699273
10009,T,172.26,141.4,50.96,120.78,106.76,95.67555556,111.8444444,110.4802469,112.2857613,115.0358299,126.8015546,116.6893309,116.1359,108.7062304,106.5321058,104.4014637
10010,T,392,176.75,98.94,225.76,164.4444444,165.7537037,194.9909877,184.4297942,186.1582442,194.9634751,209.0525133,203.0451293,196.6504537,185.7337418,182.019067,178.3786856
10011,T,320.17,200.9,134,220.8533333,182.1711111,186.6992593,204.4259259,201.6355556,203.7971056,219.7661637,232.7575065,225.652431,216.6618969,201.214573,197.1902816,193.2464759
10012,T,313.6,418,186.66,310.07,302.6666667,272.1488889,305.8611111,306.0860494,308.5794239,331.7154458,346.7036946,340.2686786,313.0241325,303.9898467,297.9100498,291.9518488
10013,T,35.64,462.58,99.96,201.28,251.1111111,187.6125926,222.8093827,233.7893004,222.5048011,244.5144856,250.2997714,247.9387898,235.109887,224.3738333,219.8863566,215.4886295
10014,T,234.22,257.55,232.26,246.1033333,240.3177778,254.0611111,255.7981481,265.5248971,269.7969959,282.3743393,292.0349337,284.6410928,274.9936302,267.6676291,262.3142766,257.067991
10015,T,339.66,438.6,304.01,351.12,365.5077778,352.7525926,376.5475309,375.5655967,385.5750206,406.1060814,422.8757278,411.7965595,387.9655932,380.7670695,373.1517281,365.6886935
10016,T,389.07,60.39,334,262.6666667,221.4144444,282.8414815,266.3609877,269.763786,280.0343073,297.2364426,310.0818564,304.3626276,287.8993558,275.5076326,269.9974799,264.5975303
10017,T,397.8,202.98,281.26,286.16,259.3333333,293.4166667,290.7722222,290.934321,306.4604938,329.9670782,334.6721628,327.4025362,316.0285068,293.9850052,288.1053051,282.343199
10018,T,278.19,65.66,15.15,123.42,66.99,70.60444444,91.50481481,78.84975309,82.51255144,90.83165981,94.11356196,88.89496723,86.17831835,81.84663737,80.20970462,78.60551053
10019,T,180.79,144.84,249.9,193.92,196.3333333,225.1666667,212.9814815,222.2523457,231.1947325,244.5004115,247.6770965,245.9464106,229.0017335,221.0806767,216.6590632,212.3258819
10020,T,217.15,374.34,390.66,328.1,353.65,368.1214815,361.4981481,383.4871193,392.026118,404.503722,423.7244429,405.5819804,387.9580364,374.2634846,366.7782149,359.4426506
10021,T,79.79,409.05,355.98,272.1133333,343.8888889,333.2240741,330.7759259,353.6755556,350.987476,382.5885368,391.6315028,370.7493548,367.6713235,348.685865,341.7121477,334.8779047
10022,T,29,100.98,135.24,89.55333333,107.47,117.3277778,110.1967901,116.3822222,119.3211934,120.9333059,129.6070264,128.2766651,120.5681046,116.5238716,114.1933942,111.9095263
10023,T,14.14,339.08,271.32,206.58,270.82,256.8896296,256.0703704,273.5060905,274.5956104,284.6663923,314.5637098,290.3830717,278.1247686,268.4073802,263.0392326,257.7784479
10024,T,120.54,237.6,331.5,233.92,267.4255556,281.2281481,273.6161728,283.0260082,293.5074486,313.8589849,321.4620972,307.8908825,289.0056682,286.8082659,281.0721006,275.4506586
10025,T,442.68,377.19,447.43,427.72,414.4444444,442.6162963,440.7796296,453.5377778,472.3880384,475.1678418,517.5101738,484.156719,462.8243899,462.9149311,453.6566325,444.5834998
10026,T,422.28,437.33,234.6,359,337.26,319.1855556,360.0748148,352.0564198,357.6584362,396.2748971,397.0404481,386.8455815,361.6055378,351.2097192,344.1855248,337.3018143
10027,T,367.29,505,181.3,355.52,342.21,305.9911111,347.1611111,352.6217284,347.7312757,362.2285871,388.4277046,384.2209419,366.55451,349.7947318,342.7988372,335.9428605
10028,T,49.49,298.86,321.18,224.4,271.46,282.5333333,269.0333333,292.442963,289.2806173,305.433251,321.4550069,312.4501875,304.2739445,286.2142661,280.4899808,274.8801812
10029,T,417.13,409.02,318.24,375.3333333,355.5222222,367.5388889,388.1061728,383.6060082,399.9383265,420.5425103,447.9317177,426.3655794,405.3211389,390.7021617,382.8881184,375.230356
10030,T,29,33,122,60.72,70.66888889,88.55407407,77.23604938,83.61152263,86.06406036,88.08733425,93.1237098,91.68519839,85.0798298,83.80524011,82.12913531,80.4865526
10031,T,482.16,336.6,64.26,292.3666667,231.44,204.3214815,260.5383951,240.9789712,244.5953361,274.1233288,277.9509419,271.4766042,250.2729597,246.9677497,242.0283947,237.1878268
10032,T,236.61,167.28,498,294.3266667,327.1933333,384.2281481,351.265679,372.4884362,390.5635117,398.5147325,415.8611949,413.2060966,387.4529816,371.1254748,363.7029653,356.428906
10033,T,438.06,438.34,358,404.74,409.7,402.6155556,425.962963,433.9680247,436.6547325,462.8193141,497.5320073,473.6067596,438.1654372,425.9836546,417.4639815,409.1147019
10034,T,389.64,474.32,37,297.99,276.74,212.16,277.8433333,263.1011111,262.5355556,296.8296296,296.7712757,283.581358,276.0930498,265.2197104,259.9153162,254.7170099
10035,T,274.72,16.66,298.86,190.12,171.36,224.8833333,206.9855556,210.6525926,221.8469136,227.5079835,236.4263374,230.0003658,226.713184,213.2784088,209.0128406,204.8325838
10036,T,10.1,374.34,346.5,244.7566667,313.3822222,313.1581481,308.9261728,328.5111111,325.8845816,338.9104801,360.177412,352.5896713,331.6097414,320.1797253,313.7761308,307.5006081
10037,T,38.22,376.38,219,204.82,268.3233333,240.4711111,247.0611111,263.5866667,260.5460905,274.5502743,290.2633425,276.6547843,265.3351151,255.8809441,250.7633252,245.7480587
10038,T,199.92,228.69,368.22,267.9866667,285.7777778,313.1581481,302.1523457,312.0348971,328.7975857,324.8896205,353.0258451,341.4084134,329.0706816,312.0019963,305.7619563,299.6467172
10039,T,127,323.34,102,183.1466667,203.4333333,166.6696296,192.9698765,196.2179424,189.1591084,202.8829904,216.1532815,207.9485769,201.9205863,194.5261083,190.6355861,186.8228744
10040,T,337.62,422,71.54,272.58,261.9133333,209.7718519,261.727284,255.4547325,247.3103841,282.3429355,280.937066,275.4276553,267.9181773,255.4212953,250.3128694,245.306612
10041,T,251.49,66.33,124.23,147.7966667,112.1111111,133.5055556,136.242716,131.1784774,139.9620165,147.1155967,149.7713763,148.1455439,142.9166235,135.2599238,132.5547253,129.9036308
10042,T,16.16,158.1,436.1,205.3333333,273.8133333,315.447037,273.012963,300.4977778,309.6537723,316.9717238,335.9740847,321.8688533,314.787884,302.0271572,295.986614,290.0668817
10043,T,180.32,299,355.52,278.3333333,303.5822222,325.9051852,321.5283951,332.5111111,341.0455967,347.9366529,371.2024021,361.5656567,342.8685898,337.0851321,330.3434295,323.7365609
10044,T,252.45,485.1,131,292,307.3766667,252.1422222,293.5722222,300.2479012,297.7310288,306.4621125,336.8315135,324.4385917,304.5021267,298.4229267,292.4544682,286.6053788
10045,T,86.7,280.28,28.42,136,150.9388889,108.082963,136.6353086,137.6177778,134.4937174,144.290032,150.4341122,145.4857329,136.7990432,136.3932068,133.6653426,130.9920358
10046,T,103,443.94,31.62,193.71,224.29,157.117037,202.5646914,204.7422222,194.9746228,217.5905761,221.1202561,217.1715841,202.6709157,200.2004077,196.1963996,192.2724716
10047,T,89.1,442.38,352,299.2,353.8888889,352.2555556,353.0735802,369.5644444,372.8290535,396.4983448,412.39533,387.1385053,370.5851174,364.1640116,356.8807314,349.7431167
10048,T,38.76,308.05,27.44,121.1933333,152.2222222,104.3351852,132.0148148,136.5288889,131.9510562,143.0502241,147.0192958,143.0351481,135.8090423,134.2303584,131.5457512,128.9148362
10049,T,322.19,167.28,487.56,313.9266667,317.57,391.6888889,358.3323457,374.9106584,386.8484225,389.3544947,419.5459686,413.7130554,394.8016593,378.1237178,370.5612435,363.1500186
10050,T,177.48,201.96,361.08,239.12,270.0066667,302.8666667,282.5881481,293.3120988,304.0255144,310.4990947,337.3799451,326.4753483,301.0367424,298.7731552,292.7976921,286.9417382
10051,T,87.12,486.09,313.14,295.3333333,357.1555556,331.927037,350.2598765,361.6776132,358.835775,394.5124783,416.1444521,394.1461617,365.073102,355.2455147,348.1406044,341.1777923
10052,T,489.85,300,294.92,359,310.66,338.8,349.5333333,353.3618519,355.9724691,380.3463374,391.4600823,379.1969456,372.7782625,352.8392867,345.782501,338.8668509
10053,T,85.14,275.73,433.62,260.3533333,319.0444444,356.797037,327.0037037,349.5553498,366.3122085,376.4216872,406.4498552,383.0879023,359.469277,350.516464,343.5061347,336.636012
10054,T,37.37,99.96,45,61.94666667,70.13888889,60.35037037,67.54209877,68.18057613,69.22951989,71.06031093,78.50727785,73.75122898,71.51299599,67.06673046,65.72539585,64.41088793
10055,T,361.35,450,218.54,349.46,343.0633333,311.9755556,349.2896296,349.9466667,347.5036626,375.976845,396.4508779,382.8810943,358.2282929,348.0461271,341.0852046,334.2635005
10056,T,313.83,136.35,475.3,306.0866667,304.5622222,387.8388889,350.6767901,367.3210288,376.8454458,405.4194787,411.6303445,399.2701829,390.7303248,367.6364761,360.2837466,353.0780717
10057,T,105.04,220.77,258.39,199.92,226.6666667,237.0044444,229.862963,239.468642,249.589465,256.5541289,269.3530818,259.9821674,248.6326028,237.8275549,233.0710038,228.4095837
10058,T,424,264.62,227.36,312.12,264,276.2688889,297.1140741,296.1839506,303.491358,327.4246639,333.5849291,320.5771468,304.3526048,295.7829721,289.8673127,284.0699664
10059,T,111.72,56,60,78.2,64.86444444,70.31111111,73.44098765,72.83711934,73.78208505,78.80149977,83.67741503,80.56462633,75.15272773,73.03979271,71.57899686,70.14741692
10060,T,347.49,97.92,126.48,192.2366667,138.1455556,157.8888889,167.1185185,162.1588066,168.0434842,175.0648011,183.557793,177.106122,169.4392659,163.0060591,159.745938,156.5510192
10061,T,214.83,42.14,274.4,181.8,169.3433333,219.6833333,198.6237037,204.3817284,215.4724691,226.9020576,228.284225,223.642085,209.1719606,205.7544947,201.6394048,197.6066167
10062,T,56.56,41.41,444.4,175.42,220,290.8533333,237.5333333,258.9003704,274.2123457,270.2467078,301.9000274,285.4441564,266.4176193,267.5328202,262.1821638,256.9385205
10063,T,61,40.59,149,82.83,90.31,112.2814815,99.94098765,104.6706584,110.0256516,110.0357522,120.0574089,117.3370955,107.9419313,108.2177587,106.0534035,103.9323355
10064,T,178,445,353.78,324.72,381.78,366.3366667,371.5833333,387.8948148,393.0938272,411.6100823,434.7120027,411.9092821,408.640567,390.9120556,383.0938145,375.4319382
10065,T,251.86,387.09,121.2,250.88,258.2233333,218.9777778,255.1851852,256.8632099,249.5920576,282.1514403,282.238171,267.32303,256.9730885,251.7557019,246.7205878,241.7861761
10066,T,196,36.26,258.72,163.66,157.56,203.4933333,183.2622222,190.5885185,202.8720988,206.2618519,221.7832647,206.8104435,198.614699,191.8965706,188.0586392,184.2974664
10067,T,249.47,489.06,417.18,387.1666667,424.49,423.3185185,430.765679,451.3317695,454.1696708,479.5480658,493.2391404,483.8254189,459.5450721,443.290413,434.4246048,425.7361127
